DA3018,Datalogi, 7.5
MM2001,Matematik I, 30
DA2004,Programmeringsteknik, 7.5
DA4002,Mjukvaruutveckling, 7.5
DA4004,Introduktion till maskininlarning, 7.5
DA4005,Algoritmer och komplexitet, 7.5
MM5016,Numerisk analys I, 7.5
DA5001,Numerisk analys II, 7.5
DA4003,Programmeringsparadigm,7.5
DA4001,Databasteknik I,7.5
